"ID" "raw_numseqs" "raw_sumlen" "raw_minlen" "raw_avglen" "raw_maxlen" "trim_numseqs" "trim_sumlen" "trim_minlen" "trim_avglen" "trim_maxlen" "filt_numseqs" "filt_sumlen" "filt_minlen" "filt_avglen" "filt_maxlen" "pb_numseqs" "pb_sumlen" "pb_minlen" "pb_avglen" "pb_maxlen" "totalassembseqs" "avgcoverage" "loss_rawtotrim" "loss_trimtofilt" "loss_rawtofilt"
"23" "NDSU12" 7699008 1154851200 150 150 150 5758674 849939165 1 147.6 150 5580714 825883288 2 147.95 150 41872 653302763 1521 15602.4 50466 5622586 304.50284725139 0.252023897104666 0.0309029474493607 0.275138563305818
"24" "NDSU13" 11206158 1680923700 150 150 150 8473798 1247595728 1 147.25 150 3961496 586967651 1 148.15 150 47321 719729653 1197 15209.5 50330 4008817 269.018814473955 0.243826653166946 0.532500538719474 0.646489367720855
"25" "NDSU15" 25936524 3890478600 150 150 150 25334300 3774649987 1 148.95 150 23621528 3519963466 2 149.05 150 52030 763545252 1894 14675.1 50648 23673558 882.094750133827 0.0232191484101725 0.0676068413178971 0.0892562164459663
"26" "NDSU16" 6846846 1027026900 150 150 150 6658034 989303866 2 148.55 150 6314972 938597542 21 148.65 150 48261 700092099 1007 14506.4 50580 6363233 337.412797652872 0.027576492884461 0.0515260210446507 0.0776816069764093
"27" "NDSU17" 9631196 1444679400 150 150 150 9470660 1410211060 1 148.9 150 9160168 1364137170 36 148.9 150 66405 959792951 1328 14453.6 50838 9226573 478.431196870496 0.0166683348568547 0.032784621135169 0.0489064909487877
"28" "NDSU18" 11143920 1671588000 150 150 150 9639694 1421546531 1 147.45 150 5202710 770860426 1 148.15 150 67813 969859490 1151 14302 50690 5270523 358.378219579988 0.134981765841822 0.460282660424698 0.533134659976023
"29" "NDSU19" 7270008 1090501200 150 150 150 6086726 899127974 1 147.75 150 5932460 878420646 1 148.05 150 55471 869801876 1230 15680.3 50466 5987931 359.914067181388 0.162762131761065 0.0253446598384747 0.183981640735471
"30" "NDSU20" 15031874 2254781100 150 150 150 14582588 2167654317 1 148.65 150 13130042 1952301525 7 148.7 150 57872 902296429 1255 15591.2 50054 13187914 587.756057607577 0.0298888881053686 0.0996082451208249 0.126519953533405
"31" "NDSU21" 17830030 2674504500 150 150 150 17406504 2586615592 1 148.6 150 16710952 2483764071 4 148.6 150 45645 678756460 1080 14870.3 50255 16756597 651.019623368334 0.0237535214466829 0.0399593163566906 0.0627636633253001
"32" "NDSU22" 16680030 2502004500 150 150 150 16237852 2413423946 1 148.6 150 15539082 2310092245 7 148.65 150 39325 604191460 1393 15364.1 50720 15578407 599.97483463043 0.0265094247432409 0.0430334012158751 0.068402035248138
