"file"	"format"	"type"	"num_seqs"	"sum_len"	"min_len"	"avg_len"	"max_len"
"67"	"NDSU25_1.fq.gz"	"FASTQ"	"DNA"	10615496	1592324400	150	150	150
"68"	"NDSU25_2.fq.gz"	"FASTQ"	"DNA"	10615496	1592324400	150	150	150
"69"	"NDSU26_1.fq.gz"	"FASTQ"	"DNA"	8939789	1340968350	150	150	150
"70"	"NDSU26_2.fq.gz"	"FASTQ"	"DNA"	8939789	1340968350	150	150	150
"71"	"NDSU28_1.fq.gz"	"FASTQ"	"DNA"	5412629	811894350	150	150	150
"72"	"NDSU28_2.fq.gz"	"FASTQ"	"DNA"	5412629	811894350	150	150	150
"73"	"NDSU29_1.fq.gz"	"FASTQ"	"DNA"	8777348	1316602200	150	150	150
"74"	"NDSU29_2.fq.gz"	"FASTQ"	"DNA"	8777348	1316602200	150	150	150
"75"	"NDSU30_1.fq.gz"	"FASTQ"	"DNA"	6141090	921163500	150	150	150
"76"	"NDSU30_2.fq.gz"	"FASTQ"	"DNA"	6141090	921163500	150	150	150
"77"	"NDSU4_1.fq.gz"	"FASTQ"	"DNA"	9410814	1411622100	150	150	150
"78"	"NDSU4_2.fq.gz"	"FASTQ"	"DNA"	9410814	1411622100	150	150	150
"79"	"NDSU5_1.fq.gz"	"FASTQ"	"DNA"	5268449	790267350	150	150	150
"80"	"NDSU5_2.fq.gz"	"FASTQ"	"DNA"	5268449	790267350	150	150	150
"81"	"NDSU6_1.fq.gz"	"FASTQ"	"DNA"	6452300	967845000	150	150	150
"82"	"NDSU6_2.fq.gz"	"FASTQ"	"DNA"	6452300	967845000	150	150	150
"83"	"NDSU7_1.fq.gz"	"FASTQ"	"DNA"	6197026	929553900	150	150	150
"84"	"NDSU7_2.fq.gz"	"FASTQ"	"DNA"	6197026	929553900	150	150	150
"85"	"NDSU8_1.fq.gz"	"FASTQ"	"DNA"	6258258	938738700	150	150	150
"86"	"NDSU8_2.fq.gz"	"FASTQ"	"DNA"	6258258	938738700	150	150	150
"87"	"NDSU9_1.fq.gz"	"FASTQ"	"DNA"	6222869	933430350	150	150	150
"88"	"NDSU9_2.fq.gz"	"FASTQ"	"DNA"	6222869	933430350	150	150	150
