"ID"	"variable"	"value"
"123"	"NDSU3"	"IncFIA.HI1._1_HI1"	0
"124"	"NDSU4"	"IncFIA.HI1._1_HI1"	0
"125"	"NDSU5"	"IncFIA.HI1._1_HI1"	0
"126"	"NDSU6"	"IncFIA.HI1._1_HI1"	0
"127"	"NDSU7"	"IncFIA.HI1._1_HI1"	0
"128"	"NDSU8"	"IncFIA.HI1._1_HI1"	0
"129"	"NDSU9"	"IncFIA.HI1._1_HI1"	0
"130"	"ARS10"	"IncFII.S._1"	1
"131"	"ARS11"	"IncFII.S._1"	1
"132"	"ARS12"	"IncFII.S._1"	1
"133"	"ARS13"	"IncFII.S._1"	0
"134"	"ARS14"	"IncFII.S._1"	0
"135"	"ARS15"	"IncFII.S._1"	1
"136"	"ARS16"	"IncFII.S._1"	1
"137"	"ARS17"	"IncFII.S._1"	1
"138"	"ARS18"	"IncFII.S._1"	1
"139"	"ARS1"	"IncFII.S._1"	0
"140"	"ARS2"	"IncFII.S._1"	1
"141"	"ARS3"	"IncFII.S._1"	1
"142"	"ARS4"	"IncFII.S._1"	1
"143"	"ARS5"	"IncFII.S._1"	1
"144"	"ARS6"	"IncFII.S._1"	1
"145"	"ARS7"	"IncFII.S._1"	1
"146"	"ARS8"	"IncFII.S._1"	1
"147"	"ARS9"	"IncFII.S._1"	1
"148"	"NDSU10"	"IncFII.S._1"	1
"149"	"NDSU13"	"IncFII.S._1"	1
"150"	"NDSU15"	"IncFII.S._1"	1
"151"	"NDSU16"	"IncFII.S._1"	1
"152"	"NDSU17"	"IncFII.S._1"	1
"153"	"NDSU18"	"IncFII.S._1"	1
"154"	"NDSU19"	"IncFII.S._1"	1
"155"	"NDSU1"	"IncFII.S._1"	1
"156"	"NDSU20"	"IncFII.S._1"	1
"157"	"NDSU21"	"IncFII.S._1"	1
"158"	"NDSU22"	"IncFII.S._1"	1
"159"	"NDSU24"	"IncFII.S._1"	1
"160"	"NDSU25"	"IncFII.S._1"	1
"161"	"NDSU26"	"IncFII.S._1"	1
"162"	"NDSU28"	"IncFII.S._1"	1
"163"	"NDSU29"	"IncFII.S._1"	1
"164"	"NDSU2"	"IncFII.S._1"	1
"165"	"NDSU30"	"IncFII.S._1"	1
"166"	"NDSU3"	"IncFII.S._1"	1
"167"	"NDSU4"	"IncFII.S._1"	0
"168"	"NDSU5"	"IncFII.S._1"	1
"169"	"NDSU6"	"IncFII.S._1"	1
"170"	"NDSU7"	"IncFII.S._1"	1
"171"	"NDSU8"	"IncFII.S._1"	1
"172"	"NDSU9"	"IncFII.S._1"	1
"173"	"ARS10"	"IncHI1A_1"	0
"174"	"ARS11"	"IncHI1A_1"	0
"175"	"ARS12"	"IncHI1A_1"	0
"176"	"ARS13"	"IncHI1A_1"	0
"177"	"ARS14"	"IncHI1A_1"	0
"178"	"ARS15"	"IncHI1A_1"	0
"179"	"ARS16"	"IncHI1A_1"	0
"180"	"ARS17"	"IncHI1A_1"	0
"181"	"ARS18"	"IncHI1A_1"	1
"182"	"ARS1"	"IncHI1A_1"	0
"183"	"ARS2"	"IncHI1A_1"	0
"184"	"ARS3"	"IncHI1A_1"	0
"185"	"ARS4"	"IncHI1A_1"	0
"186"	"ARS5"	"IncHI1A_1"	0
"187"	"ARS6"	"IncHI1A_1"	0
"188"	"ARS7"	"IncHI1A_1"	0
"189"	"ARS8"	"IncHI1A_1"	0
"190"	"ARS9"	"IncHI1A_1"	0
"191"	"NDSU10"	"IncHI1A_1"	0
"192"	"NDSU13"	"IncHI1A_1"	0
"193"	"NDSU15"	"IncHI1A_1"	0
"194"	"NDSU16"	"IncHI1A_1"	0
